ORDER_ID,QUANTITYORDERED,SALES_PRICE,YEAR_ID,PRODUCTLINE,STATE
101,,2871,2003,Motorcycles,NY
102,49.0,6954,2004,Planes,CA
103,49.0,5205,2003,Motorcycles,CA
104,37.0,3966,2004,Motorcycles,NY
105,23.0,5373,2003,Classic Cars,PA
106,28.0,3189,2004,Motorcycles,NJ
107,34.0,3677,2004,Motorcycles,CT
108,36.0,4100,2005,Motorcycles,MA
109,37.0,7374,2003,Classic Cars,CA
110,21.0,4860,2005,Classic Cars,NY
111,34.0,8015,2003,Classic Cars,CA
112,23.0,2333,2004,Motorcycles,NY
113,41.0,6724,2004,Planes,MA
114,45.0,8160,2005,Planes,CA
115,47.0,9065,2003,Classic Cars,BC
116,34.0,6120,2005,Classic Cars,CT
117,21.0,2782,2003,Planes,CT
118,32.0,5248,2003,Planes,MA
119,31.0,5720,2004,Planes,Osaka
120,35.0,6075,2004,Classic Cars,CA
121,29.0,6463,2004,Classic Cars,MA
122,39.0,7380,2004,Planes,PA
123,27.0,3704,2004,Planes,NY
124,34.0,6434,2005,Planes,CA
125,45.0,3747,2005,Motorcycles,CT
